Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO27,OUT035,1448.121658000001
DRL23,OUT027,2807.5188079999994
FDS28,OUT046,730.5557079999999
FDX24,OUT013,1357.000269999999
FDZ02,OUT035,1476.824296
FDL46,OUT045,1526.9656940000004
FDS60,OUT027,4972.474035999999
NCO06,OUT017,418.308824
FDO16,OUT035,1832.0885180000007
FDC60,OUT049,1752.6785520000003
FDA48,OUT018,3893.5517940000004
FDZ36,OUT027,4955.24979
FDK27,OUT045,1828.3134319999986
FDW23,OUT018,559.97109
FDM14,OUT018,1172.1275840000008
FDM14,OUT013,1766.7402480000012
FDW60,OUT018,2840.129692000001
FDE21,OUT013,1975.6017080000006
NCM42,OUT035,1832.641131999999
FDY59,OUT010,221.24534000000006
DRI49,OUT049,1447.1762219999998
FDT28,OUT019,273.3641640000002
FDQ22,OUT018,373.074372
FDR60,OUT049,1181.0493039999994
FDC50,OUT019,273.69040599999994
FDV24,OUT013,2055.2114139999994
DRF48,OUT010,588.860152
FDQ47,OUT046,764.125344
DRN36,OUT049,1410.4573520000004
NCY06,OUT035,2016.122296
FDE52,OUT035,1397.8471
NCB54,OUT045,2218.6786299999985
NCF31,OUT035,1993.9112080000011
FDJ08,OUT027,5113.823375999999
NCC07,OUT017,1557.3328319999994
NCD19,OUT027,1578.6251160000018
FDL46,OUT049,1893.5618320000003
FDM20,OUT045,4421.850778
NCI06,OUT010,464.48871200000025
DRM11,OUT035,4057.538334
NCH07,OUT018,2138.5296259999996
FDS23,OUT013,2380.5679000000014
FDO49,OUT018,739.4707699999999
FDS35,OUT049,1041.790576
DRK39,OUT045,1291.9649259999994
DRI39,OUT049,921.7002300000001
FDV04,OUT017,1682.4433099999994
NCN14,OUT035,2798.1909499999997
FDH08,OUT013,3940.9767280000024
FDS20,OUT046,3540.52466
FDV40,OUT049,1074.4414080000001
FDZ48,OUT010,230.81954400000006
FDS24,OUT027,2156.1200619999995
FDK44,OUT049,2424.6704919999997
FDS48,OUT045,2158.776604
FDK26,OUT010,852.4969779999992
FDD23,OUT045,3298.186776000001
NCH54,OUT017,2590.1617399999986
NCP14,OUT010,192.1831699999999
FDM60,OUT010,76.89990000000002
FDV24,OUT017,2407.7258819999993
FDH08,OUT018,3608.789134000002
FDS12,OUT027,3716.315833999999
FDR39,OUT027,4681.6858859999975
FDP12,OUT027,1017.428954000001
DRF60,OUT027,6141.379147999998
FDC09,OUT035,1489.5344180000002
FDF50,OUT018,3330.2050980000013
FDG28,OUT035,3653.4376819999975
NCE19,OUT017,842.6364800000001
NCM53,OUT010,260.134718
NCN18,OUT049,1756.4336640000006
FDF32,OUT035,3173.116245999999
FDF11,OUT013,3334.9855420000013
DRI59,OUT049,3873.75756
NCG54,OUT035,3030.655020000001
FDM44,OUT046,1605.4235659999997
FDT57,OUT018,2653.892116
FDV24,OUT046,2264.112821999999
FDI50,OUT019,532.0807280000004
FDS09,OUT035,794.8520139999997
NCC31,OUT027,3415.2943379999983
FDQ07,OUT019,621.7972779999999
FDC22,OUT017,3317.4350539999987
FDZ56,OUT046,2895.0448760000004
FDZ40,OUT019,186.81682199999992
FDS46,OUT027,2562.357932
DRD24,OUT045,1762.1861759999986
FDV45,OUT017,3103.9595999999983
FDL26,OUT045,3166.371692
FDA56,OUT018,1337.8052559999999
FDN27,OUT046,1676.3112920000003
FDM20,OUT049,4305.662020000002
FDO16,OUT017,2003.1525120000013
FDL03,OUT035,2719.773026
FDE58,OUT046,2164.808752
FDI02,OUT027,3039.1506279999994
NCC55,OUT019,57.305406000000005
FDR03,OUT018,3396.9115999999985
FDB14,OUT017,1332.4455659999983
FDR45,OUT013,5284.534496000002
NCN07,OUT017,2099.047686000001
FDM51,OUT019,246.19952400000005
FDT52,OUT027,6433.698637999996
FDL26,OUT046,2635.4494560000007
NCZ42,OUT046,3772.3096140000016
DRI47,OUT019,457.6908939999999
FDW40,OUT013,2372.451798
FDN34,OUT046,3348.101802000001
FDS01,OUT035,3369.1344240000008
NCG55,OUT045,2264.558908
FDC11,OUT035,1425.9105700000007
FDX35,OUT018,3402.191393999998
NCB06,OUT046,2085.625158000002
FDR09,OUT019,528.8183080000003
FDC53,OUT017,1527.57823
FDY45,OUT013,4326.754563999997
FDA22,OUT010,535.283226
FDE02,OUT035,1689.0014399999998
FDW21,OUT045,1770.8216020000002
FDV34,OUT046,1274.2945940000004
FDS59,OUT049,2351.499071999998
NCW17,OUT017,2744.0880420000003
NCK54,OUT046,2062.6750320000006
FDG17,OUT019,366.4762940000002
FDG35,OUT017,3514.45859
FDD08,OUT010,61.879451999999986
NCO07,OUT017,4243.4030619999985
FDJ10,OUT010,321.7478500000002
FDW36,OUT017,1555.1556660000008
FDW21,OUT010,238.78917
FDY19,OUT017,2012.8998240000003
DRE03,OUT013,652.623818
NCC55,OUT049,872.36445
FDH52,OUT010,140.51043200000015
FDO09,OUT017,4311.361268000002
FDU43,OUT045,4087.059905999999
FDX09,OUT010,408.23526999999996
FDH40,OUT019,250.40072199999992
FDW58,OUT017,1677.1768319999987
FDC47,OUT017,5103.303736000002
NCR41,OUT035,1413.120552
DRG49,OUT035,5310.094558000001
FDC52,OUT027,3554.9991520000003
FDY13,OUT046,1236.9032660000003
FDY35,OUT013,704.2233180000002
FDI35,OUT017,4597.655268000001
NCU18,OUT049,2140.1142300000006
FDY33,OUT018,2733.1622639999982
FDC15,OUT027,4067.1724600000016
FDU01,OUT049,3264.1777120000006
NCU42,OUT046,3670.7285080000015
NCV29,OUT018,2846.108576000001
NCY30,OUT017,3094.4453180000005
FDQ46,OUT049,1796.2951099999998
FDG58,OUT027,4146.349396000001
FDK33,OUT017,4146.695612000001
NCD07,OUT045,1575.2095619999996
NCX29,OUT027,3723.8926380000007
NCT42,OUT013,2260.8171120000015
DRN59,OUT035,659.255186
FDI44,OUT035,1295.220688
FDA45,OUT049,2026.6552520000012
FDP31,OUT045,851.211984
FDY01,OUT046,1967.7918739999993
FDT09,OUT018,2087.729085999999
DRH03,OUT027,2806.386948
FDA36,OUT018,2248.699552
NCF31,OUT017,2047.727822000001
FDG14,OUT049,3483.612076000001
FDG28,OUT027,6346.219175999996
FDU14,OUT049,3734.3390400000035
FDY47,OUT019,268.929936
FDI56,OUT049,1472.3834100000008
DRD01,OUT013,525.4160700000002
FDM22,OUT046,1182.5540120000003
FDH33,OUT013,721.8803339999997
DRZ24,OUT013,2103.441966
NCQ38,OUT046,1365.6689859999997
FDO16,OUT027,2194.004082
FDU07,OUT027,3741.349913999998
NCB07,OUT013,2598.164655999998
FDU48,OUT045,1384.517783999999
NCM43,OUT045,2555.886356000001
FDR31,OUT010,305.1894040000001
DRK49,OUT018,497.2061240000001
NCI30,OUT010,524.697006
DRD60,OUT017,3322.648268
NCG19,OUT046,2719.220411999999
FDH12,OUT035,1695.7193620000012
FDM32,OUT035,1226.5633920000002
FDM27,OUT035,2747.330488
NCU53,OUT027,3893.791482000003
NCQ18,OUT046,1919.2284220000008
FDS10,OUT013,2932.569363999999
FDB33,OUT027,4301.933539999997
FDI12,OUT013,1462.3764359999998
NCW42,OUT013,4284.016861999999
NCC06,OUT018,2190.8748220000007
FDW02,OUT017,2506.1111480000004
NCD43,OUT017,1505.4270640000002
FDM57,OUT018,924.3634299999995
FDA58,OUT017,3372.6099
FDK56,OUT046,3194.515057999998
FDP52,OUT045,4352.767370000001
FDW20,OUT018,2010.835844000001
FDS52,OUT049,1385.5830640000013
NCT29,OUT018,1627.894316
NCL54,OUT013,3692.400298000001
FDC05,OUT045,2604.3632540000003
FDF34,OUT035,3626.1598559999984
FDP03,OUT027,3044.1507859999997
FDD32,OUT010,193.99414599999997
FDZ10,OUT045,1994.929881999999
FDZ40,OUT035,974.8110959999998
FDD51,OUT018,584.2927639999999
NCY30,OUT019,482.31883599999964
FDP58,OUT017,3521.263066
FDV49,OUT017,4534.803747999998
FDY24,OUT019,171.4301839999999
NCO55,OUT017,1814.50474
FDR13,OUT017,1768.418063999999
FDS51,OUT017,997.9076980000004
FDP26,OUT045,1486.0522840000003
NCB54,OUT027,4509.822931999999
FDF32,OUT017,2959.427736
FDN31,OUT018,2443.4793419999996
DRM48,OUT017,760.8762399999999
FDN20,OUT049,2994.595292000002
DRL01,OUT046,4468.922837999996
FDV56,OUT049,1564.283784
DRH13,OUT027,2503.008519999999
FDA03,OUT017,2744.906976
FDF47,OUT027,7332.215712000001
FDX32,OUT046,2711.330682000001
FDX57,OUT049,1780.0562480000006
NCA30,OUT045,3330.810976
FDO49,OUT013,689.1562640000004
FDL04,OUT019,212.76970599999993
DRM48,OUT035,636.9575439999996
FDR16,OUT013,3740.164789999998
NCC19,OUT018,3358.6547319999977
NCE42,OUT045,3556.4039899999984
FDY24,OUT017,984.6649359999997
FDH19,OUT049,1638.999859999999
FDJ46,OUT013,2520.905224000001
FDN45,OUT010,683.9896559999999
FDY08,OUT035,2484.8055479999994
FDZ37,OUT035,1351.6738699999996
NCT30,OUT045,778.2469619999994
DRY23,OUT018,652.6105020000007
NCZ30,OUT018,1802.0942279999995
FDC44,OUT018,1494.0485420000002
FDB45,OUT035,1715.5335699999987
FDY04,OUT013,2276.077248000001
FDM27,OUT046,3090.670232
FDZ43,OUT017,4649.7874079999965
FDT39,OUT019,438.69562000000036
NCC06,OUT019,349.1255460000003
FDL15,OUT027,3792.623171999999
FDL57,OUT017,4899.835255999999
FDU08,OUT046,1370.788988
FDK40,OUT017,4320.496044000002
FDQ12,OUT010,664.9477760000005
FDS48,OUT017,2897.608206000001
FDP09,OUT045,4144.192203999999
FDW21,OUT049,1719.2154440000002
FDY25,OUT035,3940.4707200000003
DRE13,OUT017,1300.87333
FDV43,OUT019,83.444714
FDD22,OUT045,1819.6979799999992
FDM46,OUT019,274.70242200000007
NCO30,OUT010,544.3514219999996
FDM25,OUT046,2920.811336000001
NCN41,OUT049,2347.7572760000003
FDU24,OUT045,1813.7057799999989
FDZ50,OUT046,2982.6175500000013
FDP45,OUT013,3983.2483700000007
NCM54,OUT045,2108.794997999999
FDW10,OUT019,588.7536239999991
FDP20,OUT017,1788.6184360000002
FDK32,OUT046,2836.1215759999995
FDN52,OUT049,1106.2466740000002
FDM58,OUT045,1898.4887519999995
FDZ46,OUT027,3181.698408
NCA18,OUT018,1637.8480259999994
FDD35,OUT046,2123.5624420000004
NCK31,OUT035,728.1055640000002
FDI40,OUT027,2879.3919180000003
FDT50,OUT019,214.700526
NCT06,OUT046,2878.6329060000003
FDT31,OUT035,2562.6974900000014
FDT45,OUT049,863.4227560000004
FDT13,OUT045,3478.2190959999984
FDO50,OUT045,1353.1918940000003
NCU18,OUT010,361.382924
NCR54,OUT049,3307.5412659999984
NCO18,OUT018,2865.2037200000013
FDU09,OUT045,743.6120459999999
FDT13,OUT018,2863.1863459999995
FDE09,OUT046,1522.6180200000003
NCK53,OUT019,314.30420600000036
FDG45,OUT049,3715.363739999999
DRH15,OUT035,629.5338740000001
FDO21,OUT019,613.0619820000003
FDD14,OUT027,5749.6690340000005
FDC09,OUT046,1442.9284180000004
FDH45,OUT027,981.628888
FDV32,OUT046,1264.3275679999997
FDG12,OUT035,2402.3994819999994
FDS32,OUT013,1986.5474599999995
NCL55,OUT018,3125.4649399999985
DRE01,OUT035,4986.256096000003
DRE15,OUT049,1264.4340959999997
NCL42,OUT045,3299.951146000001
FDP31,OUT013,778.0738539999994
FDN33,OUT018,1166.5881280000003
FDZ59,OUT046,3207.9708759999985
FDE45,OUT010,412.88255400000037
FDJ07,OUT013,1635.1382200000007
FDQ45,OUT018,3040.0494579999986
FDM33,OUT027,5989.6965919999975
FDO15,OUT010,225.7328320000002
FDM46,OUT013,1389.9840019999992
FDR03,OUT045,3692.606695999998
FDY49,OUT018,2767.570808
FDQ60,OUT045,1908.7220979999993
FDW10,OUT049,2928.900806000001
FDO51,OUT049,697.7317680000003
FDJ40,OUT018,1144.3570660000003
FDS20,OUT018,2512.269798
FDU45,OUT013,1938.1438000000003
FDV02,OUT035,2662.7605720000006
FDN09,OUT046,3788.288814000002
NCM55,OUT027,6360.587139999997
FDN23,OUT018,2543.9152719999997
FDY31,OUT010,376.2169480000001
FDW03,OUT010,263.1374759999998
FDD14,OUT046,3098.7863340000004
FDV23,OUT017,1871.7235919999998
DRI03,OUT045,2945.5125160000025
FDN13,OUT035,1157.3135339999997
FDF45,OUT027,1570.6488320000012
FDU46,OUT035,1538.4374280000002
FDB57,OUT049,3806.092306
FDV12,OUT049,1793.9315199999992
FDQ58,OUT013,2124.5944320000012
NCA18,OUT017,1841.2432679999997
FDH52,OUT049,871.5854639999999
FDM24,OUT018,2393.65087
NCP43,OUT027,4664.042185999999
NCO18,OUT019,397.6690239999997
FDM32,OUT017,1210.5575600000002
NCL07,OUT017,530.829024
FDK03,OUT013,4377.495182000002
FDP59,OUT017,1358.4916620000001
FDQ24,OUT049,4274.123074
FDQ16,OUT018,1262.8761240000013
FDU44,OUT013,2750.799306000002
FDH28,OUT010,88.66458600000004
FDV28,OUT019,73.61750600000005
FDM22,OUT045,1121.5134679999994
FDR56,OUT046,3260.6090240000008
FDV39,OUT049,3610.493581999999
FDU37,OUT019,237.61736199999996
FDQ11,OUT010,675.9467919999998
FDX02,OUT045,3622.6111419999997
NCS42,OUT018,1426.7295039999995
FDY57,OUT027,3094.5451880000014
FDB21,OUT049,4844.913414
FDE28,OUT017,3571.7906279999984
FDQ55,OUT017,2201.0482459999994
FDA48,OUT049,3672.366376
FDZ19,OUT045,2486.616524000001
NCC43,OUT045,3302.8540339999995
NCV18,OUT046,1903.2092739999985
NCA42,OUT018,2962.9365020000005
FDY45,OUT046,3032.605814000002
NCC30,OUT045,2774.594998000003
FDM57,OUT013,1610.1374300000004
FDL09,OUT010,309.43054999999987
FDB09,OUT027,3714.4316200000044
FDT44,OUT035,1805.163565999999
NCT06,OUT027,4244.9011120000005
FDX26,OUT049,3386.5184620000014
FDK32,OUT013,2817.5524139999998
DRA12,OUT046,2129.8475940000008
FDO46,OUT010,457.77079000000003
FDE52,OUT013,1107.152162
NCH42,OUT045,4567.694268000004
FDV08,OUT035,664.4217940000005
FDB47,OUT018,2446.5486800000003
FDC28,OUT010,211.47139600000014
FDD22,OUT046,1935.1477000000007
FDS07,OUT027,2793.703458
DRI13,OUT045,2840.5091980000016
FDG32,OUT018,4036.465764000001
FDU14,OUT017,3535.624372000002
FDD28,OUT019,123.08644599999998
NCP41,OUT017,1672.98895
FDS08,OUT049,2276.3435679999993
FDX47,OUT045,1900.925580000001
FDC53,OUT019,201.1648120000001
FDQ19,OUT035,3887.5129879999968
FDL14,OUT045,1883.9143900000013
FDM33,OUT019,689.1030000000001
FDA51,OUT045,2267.361925999999
FDZ27,OUT018,533.3790380000002
FDT04,OUT046,701.6932780000002
DRC13,OUT049,1844.2659999999998
FDR16,OUT027,5086.052857999996
FDQ03,OUT027,7527.767829999997
FDE38,OUT035,2320.326315999999
DRH23,OUT027,1845.9171839999995
FDT11,OUT019,717.0266519999994
FDD09,OUT035,2530.3995319999985
FDR40,OUT045,1567.040196
FDX07,OUT017,3255.322572000001
FDR07,OUT035,1560.6485160000013
FDA51,OUT017,1818.8124660000003
FDT59,OUT019,728.5982560000006
FDF20,OUT017,2622.739334
FDR13,OUT045,1913.103062
FDY26,OUT049,5546.646639999996
FDW04,OUT017,2019.9173559999995
FDK52,OUT017,4784.285665999997
FDN60,OUT049,2681.77582
FDM09,OUT019,427.8497379999998
FDP46,OUT049,1629.8118200000004
FDB50,OUT019,288.02508
NCQ29,OUT049,3438.410913999997
FDP16,OUT027,7455.801507999995
FDX33,OUT018,2343.0434119999995
FDP07,OUT010,470.2279079999999
FDN22,OUT046,3678.9844280000007
FDF39,OUT049,4838.248755999999
FDS21,OUT017,850.1400460000004
NCM42,OUT013,2075.1321499999995
FDK50,OUT019,478.31737799999974
DRF13,OUT027,3721.4491519999983
FDH35,OUT018,2045.0379899999994
FDP60,OUT018,1788.4852760000006
DRJ49,OUT027,3270.0567260000007
NCT42,OUT019,388.1614000000002
FDE38,OUT049,2604.5563360000006
FDI04,OUT049,3664.4500139999977
NCH54,OUT045,3288.1132219999995
FDT56,OUT049,685.9271340000004
DRD15,OUT018,3668.9641379999985
FDV58,OUT013,3102.588052
FDP21,OUT049,3905.6427219999982
FDH05,OUT013,3418.9162900000015
FDR10,OUT027,4514.510164000001
NCP06,OUT045,2206.1016680000002
FDF33,OUT049,1962.4055519999995
DRK37,OUT013,3818.143285999999
DRH49,OUT045,1276.0190160000004
FDT58,OUT013,2750.3066139999987
FDD41,OUT018,1451.6037919999997
FDP40,OUT018,1722.6776040000007
FDM51,OUT027,2605.7814080000007
FDO45,OUT010,248.54314000000002
FDW33,OUT010,240.31385199999986
FDY24,OUT045,1019.0468479999996
FDB10,OUT010,602.668844
FDM40,OUT035,2381.8262620000005
NCI06,OUT017,3532.5284020000017
FDW12,OUT019,234.91421400000021
FDX48,OUT027,4415.206093999997
NCW05,OUT027,2541.5716559999996
FDX27,OUT017,1409.0391979999997
DRM37,OUT045,3831.392706
FDA38,OUT045,3958.9599859999994
FDR36,OUT046,694.1098160000003
FDZ45,OUT046,3454.6298019999995
FDG05,OUT017,2495.7712740000006
FDK28,OUT013,4098.678115999999
FDV47,OUT045,1700.1669060000004
FDN21,OUT045,2206.3413560000017
FDP20,OUT027,2688.2806860000023
FDI35,OUT045,4218.921596000001
DRY23,OUT013,746.1154540000002
FDA56,OUT017,2158.6900499999992
FDB09,OUT013,2242.068184
NCO26,OUT027,3204.1225519999984
FDQ49,OUT018,2005.802396
FDI52,OUT027,3101.7158540000005
FDZ44,OUT027,3015.3016720000014
FDZ09,OUT018,2661.3357600000013
FDY03,OUT049,2177.345765999999
NCG42,OUT017,2039.9579359999996
DRI13,OUT027,6517.296485999999
FDQ32,OUT013,2421.1417520000005
FDW16,OUT035,1227.941598
FDU27,OUT046,787.4816080000003
FDR28,OUT010,524.6637160000001
FDQ49,OUT010,345.49693600000006
FDS37,OUT046,1953.9964979999997
FDW26,OUT018,3308.6531519999976
FDX12,OUT018,3855.7010639999976
NCP06,OUT013,2708.6475080000027
FDW45,OUT010,314.9833220000001
NCN30,OUT049,1397.148010000001
FDN24,OUT049,869.1086879999999
NCL41,OUT027,1062.8298560000005
FDR02,OUT019,312.8261299999999
FDD09,OUT010,553.71257
FDS33,OUT010,175.65801399999992
FDU22,OUT045,2129.321612
FDI53,OUT013,2553.7557960000013
DRH01,OUT049,2510.059342
FDX32,OUT013,2509.2936719999993
NCP30,OUT018,458.3566940000001
FDB60,OUT045,3339.9324360000023
FDB14,OUT049,1458.0687099999984
NCP02,OUT035,666.7254620000006
FDJ10,OUT017,1950.4011780000003
FDG34,OUT046,1733.4302739999994
NCB18,OUT017,1465.672146000001
FDM16,OUT049,1161.8143420000004
FDW25,OUT018,1299.8147079999997
FDB35,OUT010,205.2994299999999
DRN11,OUT013,2270.1516279999996
FDF41,OUT019,568.8262299999998
FDH16,OUT045,1407.6277019999998
NCQ50,OUT018,3019.8357699999997
DRH23,OUT018,775.6303680000002
DRJ37,OUT013,2402.7989619999985
DRJ24,OUT027,5641.915962
FDY16,OUT035,3078.732437999998
FDQ27,OUT045,1915.4866260000001
FDZ33,OUT045,2536.691342000001
FDF29,OUT045,1815.0906440000008
FDA08,OUT049,3678.1388620000016
FDG31,OUT046,1110.1615779999995
FDE34,OUT019,354.39868200000006
NCR30,OUT027,2170.4680520000024
FDV33,OUT035,4062.365384
DRZ24,OUT018,2066.197114000001
NCL54,OUT035,3111.8559880000003
FDR12,OUT049,2548.0166
NCC54,OUT046,4202.476335999998
DRN59,OUT013,735.9686619999999
FDX50,OUT019,217.43030600000006
FDV31,OUT027,5367.606362
NCA29,OUT027,5030.305424000001
FDW60,OUT049,3082.3543899999995
FDX08,OUT017,3284.4380059999994
DRD49,OUT013,3354.3536640000016
FDD33,OUT046,3593.6887900000006
FDW35,OUT013,842.5366099999999
FDJ36,OUT017,1613.433140000001
FDV51,OUT035,3863.5042400000007
FDW36,OUT046,1739.1561540000012
FDH35,OUT046,2058.959868
NCS30,OUT027,2962.1841480000016
FDN49,OUT017,604.4265560000003
FDL08,OUT018,3691.6812339999988
FDI09,OUT013,3620.986590000001
FDP19,OUT018,2307.5829040000003
FDU21,OUT010,77.31935399999999
NCP41,OUT045,1610.164062
FDY10,OUT013,1852.0758339999998
FDP12,OUT018,404.3469980000001
NCN26,OUT049,1959.5159800000004
FDK44,OUT013,2631.5878160000007
FDC28,OUT049,1521.273103999999
FDJ41,OUT027,5987.213158000007
NCT29,OUT035,1819.9842740000004
NCH42,OUT019,354.36539200000004
FDU60,OUT018,2746.25855
FDS02,OUT045,3605.6931639999984
FDC51,OUT046,2004.570666000001
FDU03,OUT013,3259.037736
FDX39,OUT045,4526.041819999995
NCY05,OUT010,75.32195399999999
NCL06,OUT027,6872.121279999999
FDD32,OUT035,1329.669180000001
NCN41,OUT045,2228.0331200000005
NCX53,OUT049,2277.328952
FDU57,OUT019,292.89207800000025
FDQ23,OUT046,2039.24553
FDQ52,OUT045,5695.546152
FDC14,OUT045,687.8712699999996
FDY09,OUT035,3142.8090300000026
FDQ28,OUT045,2535.506218
FDV25,OUT046,4179.233257999998
FDJ07,OUT035,2001.488012000001
DRB25,OUT049,1512.3580419999998
FDK52,OUT019,680.6073920000003
FDY52,OUT027,1706.9181180000007
FDB28,OUT046,2442.760277999998
FDT36,OUT035,751.9944679999993
FDV25,OUT017,4097.080196000001
NCN07,OUT027,3467.9790920000023
FDC57,OUT017,3547.3624260000015
FDQ03,OUT018,2895.4110659999983
FDU23,OUT017,3029.616372000002
NCX41,OUT035,3880.2624259999993
NCD06,OUT035,729.6369039999996
FDW08,OUT045,1625.2444320000004
NCU29,OUT017,2424.8502580000004
NCE06,OUT013,2143.709549999998
FDV52,OUT010,273.33087400000016
FDB02,OUT017,2799.7356060000006
NCR18,OUT045,761.1359019999998
FDK16,OUT049,1684.7203460000005
NCQ29,OUT010,857.3906079999995
FDZ01,OUT019,183.00844600000008
FDW27,OUT035,2450.030814000001
FDD17,OUT018,3424.8352519999985
FDW39,OUT013,2584.3226740000023
DRH59,OUT045,978.7193419999999
FDS52,OUT013,959.6508300000004
FDU40,OUT027,5879.986067999995
NCF54,OUT013,2482.868070000001
FDH46,OUT045,1480.1066900000012
NCP14,OUT049,2158.317201999999
FDH50,OUT049,2870.2438259999994
DRF15,OUT010,294.0905179999999
FDV27,OUT027,2244.425116
NCJ06,OUT049,2111.4315660000007
FDN02,OUT018,4046.519344000003
FDQ51,OUT049,805.8710040000002
FDQ07,OUT017,4277.199069999998
FDS45,OUT049,1979.163737999999
NCJ06,OUT045,1819.5048980000001
FDD36,OUT035,1842.4084180000004
FDY25,OUT045,4480.26807
FDU52,OUT046,2319.9401520000006
DRK47,OUT017,3319.8252759999978
NCL30,OUT017,2121.4851459999995
FDN22,OUT035,3836.499392
NCF30,OUT027,3415.8469520000017
FDK03,OUT035,4086.127786
FDT45,OUT017,1073.096492
NCC54,OUT027,5928.076801999999
FDP08,OUT018,3257.1468640000007
FDU44,OUT046,3444.949070000003
DRG39,OUT035,894.3092179999996
FDU32,OUT049,1943.4635419999997
FDY27,OUT049,2926.5838220000005
NCP54,OUT013,2195.90827
NCZ41,OUT049,1831.7889079999984
DRL49,OUT013,1813.0399799999993
FDI05,OUT018,1378.4390299999995
FDY56,OUT045,5186.715160000003
DRC13,OUT013,1788.2589040000007
NCV29,OUT017,3178.296170000001
FDR24,OUT049,1220.491296
FDZ34,OUT018,3328.081196000001
FDP37,OUT035,2140.227416000001
